"PageLikes","PostType","ContentCategory","Month","Weekday","Hour","PaidAd","TotalReach","TotalImpressions","EngagedUsers","Comments","Likes","Shares","Interactions"
138329,"Photo","action",11,1,3,"Yes",25248,40125,726,24,285,28,337
138329,"Photo","action",11,7,9,"No",4894,8899,355,9,202,31,242
138329,"Photo","action",11,7,3,"No",2935,5439,237,4,64,19,87
138329,"Photo","action",11,6,10,"No",2425,4462,260,4,66,13,83
138329,"Video","action",11,6,2,"Yes",16416,31950,459,2,65,14,81
138329,"Photo","action",11,5,11,"No",5812,10465,343,2,164,54,220
138329,"Photo","action",11,5,3,"No",2545,4846,165,0,40,13,53
138329,"Photo","action",11,4,10,"No",2257,4372,230,3,76,11,90
138329,"Photo","action",11,4,3,"Yes",27072,84885,421,4,139,17,160
138185,"Photo","action",11,3,11,"Yes",10940,27951,417,8,101,14,123
138185,"Photo","action",11,2,10,"Yes",28752,47358,802,10,179,13,202
138185,"Photo","action",11,2,3,"Yes",27216,81908,541,4,219,22,245
138185,"Photo","action",11,1,10,"No",2352,5234,232,2,60,7,69
138185,"Photo","action",11,1,3,"No",3416,6167,356,19,77,23,119
138185,"Photo","action",11,7,11,"No",2149,4120,197,0,48,7,55
138185,"Photo","action",11,6,11,"No",2168,3891,211,0,53,17,70
137893,"Photo","action",11,6,3,"No",3102,5939,360,7,84,28,119
137893,"Photo","action",11,5,10,"Yes",39344,103050,588,7,146,9,162
137893,"Status","inspiration",11,4,11,"No",9056,16362,1006,3,226,44,273
137893,"Photo","action",11,4,2,"Yes",11444,46054,555,14,172,47,233
137893,"Video","action",11,3,11,"No",13544,30235,517,2,99,13,114
137893,"Photo","action",11,3,2,"Yes",37376,68610,1150,20,411,74,505
137893,"Photo","action",11,3,2,"No",1228,2392,17,0,0,0,0
137177,"Photo","action",11,1,10,"No",22984,59040,438,4,85,8,97
137177,"Photo","product",11,1,3,"No",1445,2774,217,0,56,8,64
137177,"Photo","action",11,7,12,"No",3754,8533,658,2,29,7,38
137177,"Status","product",11,7,3,"No",8728,17827,2295,2,86,13,101
137177,"Photo","inspiration",11,6,10,"No",5990,11123,657,18,370,53,441
137177,"Photo","action",11,6,3,"No",4582,9193,454,5,190,57,252
137177,"Photo","inspiration",11,5,10,"Yes",2938,5799,321,2,101,19,122
137177,"Status","inspiration",11,5,2,"No",6692,13092,199,2,99,16,117
137177,"Photo","action",11,4,9,"Yes",2566,5244,384,10,140,8,158
137177,"Link","action",11,4,3,"No",21176,54779,330,2,130,31,163
137177,"Photo","inspiration",11,3,10,"No",4012,7955,550,3,270,38,311
137177,"Photo","action",11,3,3,"No",1531,2838,212,3,30,6,39
137059,"Photo","action",11,2,11,"Yes",2938,6056,374,2,107,17,126
137059,"Photo","action",11,2,3,"No",24720,37240,845,13,331,77,421
137059,"Photo","product",11,1,9,"No",2219,4545,287,0,78,13,91
137059,"Photo","inspiration",11,1,3,"No",4732,9303,607,9,301,32,342
137059,"Photo","inspiration",11,7,9,"No",2225,4239,310,2,111,16,129
137059,"Photo","product",11,7,4,"No",2626,4943,316,2,124,22,148
137059,"Photo","inspiration",10,6,10,"No",3090,5744,391,5,153,27,185
137059,"Photo","action",10,6,3,"No",1101,2548,324,3,51,11,65
137059,"Photo","product",10,5,11,"No",2819,5230,318,1,115,26,142
137020,"Status","product",10,5,3,"Yes",12468,24917,2143,7,310,61,378
137020,"Photo","action",10,4,10,"No",12776,21893,785,12,328,90,430
137020,"Photo","action",10,4,9,"Yes",1357,2453,37,0,0,0,0
137020,"Photo","inspiration",10,3,10,"No",1711,3174,288,2,63,14,79
137020,"Photo","action",10,3,4,"No",1388,2544,224,0,13,4,17
137020,"Photo","action",10,2,11,"Yes",2645,5472,357,4,59,9,72
137020,"Photo","inspiration",10,1,11,"No",3674,7221,452,9,181,32,222
136736,"Status","product",10,1,4,"No",9504,19556,1132,17,193,28,238
136736,"Photo","inspiration",10,7,9,"No",2426,4469,320,7,125,16,148
136736,"Status","product",10,7,3,"No",13872,27468,2664,4,217,50,271
136736,"Photo","action",10,6,10,"No",1673,3655,338,2,28,4,34
136736,"Photo","product",10,6,4,"No",2428,4510,311,4,117,18,139
136642,"Photo","product",10,1,3,"Yes",2227,4070,369,2,79,16,97
136642,"Photo","action",10,7,13,"No",1592,2749,370,0,15,2,17
136642,"Photo","action",10,7,12,"Yes",813,1568,323,0,4,2,6
136642,"Photo","action",10,7,11,"No",729,1374,303,0,7,0,7
136642,"Photo","action",10,7,10,"No",834,1570,399,0,7,2,9
136393,"Photo","action",10,7,10,"No",786,1573,263,0,6,2,8
136393,"Status","product",10,7,9,"No",15816,30514,2733,6,186,40,232
136393,"Photo","action",10,7,8,"No",619,1096,257,1,1,2,4
136393,"Photo","action",10,7,7,"No",617,1071,229,1,3,2,6
136393,"Photo","action",10,7,5,"No",677,1240,236,0,7,2,9
136393,"Photo","inspiration",10,7,3,"No",3366,6647,474,3,198,41,242
136393,"Photo","action",10,6,13,"No",747,1443,226,0,9,1,10
136393,"Photo","action",10,6,13,"No",645,1117,195,0,4,1,5
136393,"Photo","action",10,6,12,"No",754,1510,206,0,3,0,3
136393,"Photo","action",10,6,11,"No",910,1673,207,0,8,2,10
136393,"Photo","action",10,6,9,"No",3906,8239,868,0,7,3,10
136393,"Photo","action",10,6,9,"No",659,1158,199,1,7,2,10
136393,"Photo","action",10,6,8,"No",652,1331,214,0,11,1,12
136393,"Photo","action",10,6,6,"No",861,1565,214,2,28,4,34
136393,"Photo","action",10,6,2,"No",3690,7659,424,0,56,12,68
136393,"Link","action",10,5,10,"No",4664,9463,204,0,32,16,48
136013,"Photo","action",10,5,8,"No",1080,2427,210,4,32,3,39
136013,"Status","product",10,5,3,"No",8896,17202,1480,0,129,25,154
136013,"Photo","action",10,4,10,"Yes",4018,8617,428,4,77,19,100
136013,"Status","inspiration",10,3,10,"No",13152,25666,2543,2,227,36,265
136013,"Photo","inspiration",10,2,10,"Yes",16776,39549,714,10,377,60,447
136013,"Photo","action",10,2,3,"Yes",50736,140432,1462,3,41,9,53
136013,"Photo","action",10,1,10,"Yes",5324,11040,528,6,76,14,96
136013,"Photo","inspiration",10,1,3,"No",18120,44940,421,0,189,15,204
135713,"Photo","inspiration",10,7,10,"No",2291,3960,303,0,80,14,94
135713,"Status","product",10,7,4,"No",10744,20691,1967,3,148,28,179
135713,"Link","action",10,6,11,"Yes",3616,6887,111,0,24,11,35
135713,"Photo","product",10,5,11,"No",4010,7444,477,2,166,32,200
135713,"Photo","product",10,5,4,"Yes",6564,12097,806,47,358,49,454
135713,"Photo","action",10,4,10,"No",8612,20151,813,7,161,25,193
135713,"Photo","product",10,4,1,"No",5568,10282,746,13,319,55,387
135700,"Photo","product",9,3,7,"No",1685,2999,322,0,54,16,70
135700,"Photo","product",9,2,11,"No",3756,7094,469,16,117,30,163
135700,"Photo","inspiration",9,2,2,"No",2656,4862,390,1,115,21,137
135700,"Photo","product",9,1,10,"No",5086,9493,622,30,187,35,252
135617,"Photo","product",9,1,3,"Yes",2055,3915,346,1,84,13,98
135617,"Photo","inspiration",9,7,9,"No",9384,14948,757,6,363,40,409
135617,"Photo","product",9,7,3,"No",3992,7255,598,6,244,32,282
135617,"Photo","inspiration",9,6,10,"No",7512,13633,769,22,290,98,410
135617,"Status","product",9,6,4,"No",11096,21080,1843,4,243,41,288
135428,"Photo","product",9,5,3,"Yes",2790,4879,435,0,113,19,132
135428,"Photo","action",9,4,10,"Yes",13856,37716,519,2,77,5,84
135428,"Photo","inspiration",9,4,2,"Yes",10748,19724,892,8,485,64,557
135428,"Photo","product",9,3,2,"Yes",2522,4583,455,6,99,16,121
135195,"Photo","inspiration",9,2,9,"No",4480,8039,572,3,188,26,217
135195,"Photo","action",9,2,2,"No",1543,2874,360,2,30,6,38
135195,"Photo","action",9,1,4,"No",4484,7829,545,6,179,40,225
135195,"Photo","product",9,7,3,"No",4398,8105,584,5,204,34,243
135195,"Status","product",9,6,10,"Yes",13216,24738,2675,2,165,22,189
135195,"Photo","action",9,5,11,"No",6208,10830,644,2,234,40,276
135195,"Photo","product",9,5,2,"No",4518,8533,626,7,250,42,299
135195,"Photo","product",9,4,10,"No",3582,6518,537,4,154,36,194
134879,"Status","product",9,4,4,"Yes",9124,17776,1476,20,150,29,199
134879,"Photo","action",9,3,10,"No",14152,38806,631,4,102,8,114
134879,"Photo","inspiration",9,3,2,"Yes",4260,7989,588,1,226,44,271
134879,"Video","action",9,2,10,"No",30624,56950,2080,6,345,121,472
134879,"Photo","product",9,2,3,"No",2363,4223,393,11,68,11,90
134879,"Photo","action",9,1,10,"No",2232,4005,374,0,62,10,72
134879,"Photo","product",9,1,6,"No",4048,7217,544,5,223,35,263
134879,"Photo","product",9,7,10,"No",1804,2968,330,0,61,6,67
134879,"Photo","inspiration",9,7,4,"Yes",2351,4028,371,1,104,12,117
133679,"Photo","product",9,2,10,"No",3100,5388,518,3,146,15,164
133679,"Photo","inspiration",9,2,3,"Yes",2360,4004,436,2,102,15,119
133679,"Photo","product",8,1,4,"No",2295,3721,377,0,63,7,70
133594,"Photo","product",8,7,10,"Yes",3934,6330,512,3,113,17,133
133594,"Photo","product",8,6,10,"No",5282,8730,703,9,278,43,330
133594,"Photo","action",8,6,8,"No",1809,3130,399,2,64,7,73
133594,"Photo","product",8,5,13,"No",1920,3124,365,1,52,7,60
133451,"Photo","action",8,4,9,"Yes",1954,3530,356,0,30,2,32
132817,"Photo","product",8,4,3,"Yes",4204,7191,498,2,139,25,166
132817,"Photo","action",8,3,9,"No",3376,6557,428,0,40,5,45
132817,"Photo","inspiration",8,2,3,"No",3358,5682,394,2,114,16,132
132201,"Photo","action",8,1,12,"Yes",3254,5644,371,0,39,3,42
132201,"Photo","product",8,7,10,"No",3734,6218,529,5,137,20,162
132201,"Photo","inspiration",8,7,3,"No",2594,4220,347,1,54,11,66
132201,"Photo","product",8,6,10,"Yes",2232,3772,376,2,74,22,98
132201,"Photo","inspiration",8,6,3,"Yes",22120,54734,979,6,98,3,107
132201,"Photo","inspiration",8,5,10,"No",7980,12978,630,2,264,21,287
132201,"Photo","product",8,5,1,"No",1659,2845,345,3,36,11,50
132201,"Photo","inspiration",8,4,11,"Yes",1006,1594,277,1,11,3,15
132201,"Photo","inspiration",8,4,3,"Yes",12728,21685,844,4,435,31,470
131956,"Photo","action",8,3,10,"No",28880,64746,1062,2,114,10,126
131956,"Photo","product",8,3,4,"No",1330,2327,363,2,17,9,28
131956,"Photo","action",8,2,7,"No",14200,26728,1393,3,87,10,100
131956,"Photo","inspiration",8,1,12,"No",5746,9874,769,16,227,28,271
131956,"Photo","product",8,1,4,"No",2540,4372,389,2,86,8,96
131956,"Photo","inspiration",8,7,10,"No",4324,7241,548,6,179,27,212
131808,"Status","product",8,7,4,"No",8260,14305,997,1,74,11,86
131808,"Photo","action",8,6,6,"No",5046,9084,528,2,80,21,103
131808,"Status","product",7,5,14,"No",15296,25269,2827,9,95,17,121
131728,"Photo","inspiration",7,5,8,"Yes",3414,6369,473,3,188,26,217
131728,"Photo","product",7,4,3,"No",14824,21863,868,64,367,25,456
131630,"Photo","product",7,3,13,"No",3504,5699,444,9,102,19,130
131630,"Photo","inspiration",7,2,23,"No",2822,5058,424,2,113,20,135
131630,"Photo","inspiration",7,2,13,"No",2973,5063,356,0,94,20,114
131630,"Photo","action",7,1,11,"No",4592,6691,320,1,43,10,54
131630,"Photo","product",7,1,5,"No",3176,5278,372,1,98,21,120
131300,"Photo","inspiration",7,7,4,"No",10888,19744,913,12,237,45,294
131300,"Photo","product",7,6,10,"No",3594,6316,424,4,112,23,139
131300,"Photo","action",7,6,2,"No",3384,6166,451,2,101,25,128
130791,"Photo","product",7,5,11,"Yes",4096,7200,487,10,145,31,186
130791,"Photo","action",7,4,11,"No",4892,8499,536,4,118,22,144
130791,"Status","product",7,4,6,"No",17360,33613,2573,9,484,79,572
130791,"Photo","action",7,2,13,"No",44464,66824,1052,4,154,30,188
130791,"Photo","product",7,2,8,"No",2881,5188,550,0,73,15,88
129600,"Photo","product",7,1,12,"No",3460,6503,541,0,96,19,115
129600,"Photo","inspiration",7,1,6,"No",3406,5656,571,1,98,19,118
129600,"Photo","product",7,7,11,"Yes",2602,4349,479,1,53,14,68
129600,"Photo","action",7,7,6,"Yes",5848,9068,622,4,71,10,85
129600,"Photo","action",7,6,11,"No",26944,43464,877,6,194,34,234
129600,"Photo","inspiration",7,6,5,"No",5292,9321,756,6,226,42,274
129600,"Status","product",7,5,12,"Yes",15576,27513,2417,11,238,51,300
129600,"Photo","product",7,4,12,"Yes",3726,6372,602,30,47,8,85
129600,"Photo","action",7,4,6,"Yes",31904,50539,863,2,126,32,160
129600,"Photo","action",7,3,13,"Yes",40336,65309,1407,4,104,10,118
129600,"Photo","product",7,3,1,"No",4220,7774,685,10,167,26,203
129600,"Photo","inspiration",7,2,13,"No",4666,8360,729,9,152,41,202
129600,"Photo","product",7,2,7,"Yes",4274,7948,701,0,128,15,143
129600,"Photo","action",7,1,13,"No",28208,41650,964,13,234,43,290
128032,"Photo","product",7,1,3,"No",3330,5461,513,2,61,16,79
128032,"Photo","product",7,7,11,"Yes",3528,5918,550,0,66,9,75
128032,"Photo","inspiration",7,7,3,"No",38576,55398,1355,7,529,60,596
128032,"Photo","inspiration",7,6,13,"Yes",2628,4264,528,3,42,10,55
128032,"Photo","action",7,6,3,"No",7232,12735,758,2,75,24,101
128032,"Status","product",7,5,10,"No",10188,16978,1473,13,61,13,87
128032,"Photo","action",7,5,3,"No",6408,11881,909,26,162,7,195
128032,"Photo","action",7,4,9,"Yes",3414,6050,515,2,47,4,53
128032,"Photo","product",7,4,5,"Yes",53056,65260,2003,6,696,28,730
126424,"Photo","inspiration",7,4,12,"No",5458,9098,1007,1,143,27,171
126424,"Photo","product",7,4,3,"No",3706,6194,895,18,46,7,71
126424,"Photo","inspiration",7,3,4,"Yes",2316,3611,722,0,25,5,30
126345,"Photo","action",6,2,9,"Yes",5854,11854,1043,11,202,5,218
126345,"Photo","product",6,1,12,"No",3212,4908,735,1,40,8,49
126345,"Photo","product",6,1,4,"No",3046,4909,909,1,71,17,89
126345,"Status","product",6,7,11,"No",12044,20327,2240,0,104,13,117
126141,"Photo","action",6,7,4,"Yes",9652,16968,1400,1,34,4,39
126141,"Photo","action",6,6,12,"No",28112,47721,1631,11,129,12,152
126141,"Status","product",6,6,4,"No",8628,14847,870,4,72,18,94
126141,"Photo","action",6,5,11,"Yes",2431,4180,389,0,15,3,18
126141,"Photo","action",6,4,22,"Yes",20560,24112,936,14,102,9,125
125612,"Photo","action",6,4,11,"No",2402,4072,170,5,57,5,67
125612,"Photo","action",6,4,7,"No",1729,3289,596,0,23,2,25
125612,"Photo","product",6,4,3,"No",4320,7127,753,5,141,26,172
125612,"Photo","action",6,3,11,"No",2585,4410,569,0,19,5,24
125612,"Photo","product",6,3,3,"No",3322,5969,610,1,71,23,95
125612,"Photo","action",6,2,13,"No",3600,5807,691,0,72,21,93
125612,"Photo","action",6,2,2,"No",11620,21564,1160,5,54,7,66
125612,"Photo","inspiration",6,1,14,"No",4248,7004,724,5,93,19,117
125612,"Photo","inspiration",6,1,3,"No",2763,4388,564,0,62,10,72
125612,"Photo","product",6,7,11,"No",3558,5396,621,0,78,16,94
124940,"Photo","action",6,7,4,"No",8324,14480,840,0,14,1,15
124940,"Photo","product",6,6,9,"No",6952,11469,909,11,231,43,285
124940,"Photo","inspiration",6,6,2,"Yes",2823,4955,552,1,72,16,89
124940,"Photo","inspiration",6,5,3,"Yes",11608,15323,985,4,330,29,363
124940,"Photo","inspiration",6,4,2,"No",4762,8303,842,2,208,28,238
124940,"Photo","product",6,3,13,"No",6150,10217,750,12,148,28,188
124940,"Photo","inspiration",6,3,3,"Yes",4644,8178,768,4,154,26,184
124940,"Photo","inspiration",6,2,13,"No",22464,29650,1029,3,142,18,163
124940,"Photo","inspiration",6,2,3,"No",3754,6295,791,8,107,20,135
124940,"Photo","action",6,1,13,"No",4452,7998,666,0,22,3,25
124940,"Photo","inspiration",6,1,3,"No",3576,5525,664,2,84,13,99
124940,"Photo","inspiration",6,7,10,"No",3028,4794,579,2,59,12,73
124940,"Photo","inspiration",6,7,3,"Yes",4022,6503,647,3,65,14,82
124940,"Photo","action",6,6,12,"Yes",52736,73584,1635,0,24,4,28
124940,"Photo","inspiration",6,6,4,"No",47376,70212,1557,9,186,23,218
123047,"Photo","inspiration",6,5,12,"No",3234,5113,756,0,58,17,75
123047,"Photo","product",6,5,3,"No",3322,5553,702,2,74,14,90
123047,"Photo","inspiration",6,4,13,"No",6768,11525,768,2,180,44,226
123047,"Photo","product",6,4,5,"Yes",11304,20647,1141,18,168,49,235
123047,"Photo","action",6,3,11,"No",13544,18474,759,0,36,5,41
123047,"Photo","inspiration",6,2,13,"No",3418,5659,581,2,51,6,59
123047,"Photo","inspiration",6,2,5,"Yes",3662,6476,560,2,67,14,83
123047,"Photo","inspiration",6,1,3,"Yes",3294,5499,526,2,57,6,65
121540,"Photo","inspiration",6,1,3,"No",3110,5405,732,2,33,10,45
121540,"Photo","product",5,7,14,"No",3806,6486,722,1,79,17,97
120050,"Photo","inspiration",5,5,9,"Yes",3776,6736,577,3,97,22,122
120050,"Photo","inspiration",5,4,4,"Yes",4032,7278,684,7,139,34,180
120050,"Photo","inspiration",5,3,12,"No",21248,34095,1049,20,199,32,251
119198,"Photo","inspiration",5,3,5,"No",4344,8025,692,1,107,26,134
119198,"Photo","inspiration",5,2,12,"No",2718,4698,566,0,50,10,60
119198,"Photo","inspiration",5,2,1,"No",3024,5630,596,0,64,20,84
119198,"Status","product",5,1,2,"No",10152,17099,1636,2,55,10,67
119198,"Photo","product",5,7,2,"No",4708,8090,678,1,142,37,180
119198,"Photo","inspiration",5,6,14,"No",2772,4642,526,2,72,9,83
119198,"Photo","inspiration",5,6,6,"No",2812,4954,536,4,79,16,99
119198,"Photo","inspiration",5,5,10,"Yes",6460,11373,823,25,244,44,313
117764,"Photo","action",5,4,10,"No",18056,32576,1062,25,307,58,390
117764,"Photo","inspiration",5,4,4,"No",5016,8745,679,6,212,36,254
117764,"Photo","inspiration",5,3,11,"No",3528,6181,470,2,95,17,114
117764,"Photo","product",5,2,11,"No",6444,11509,734,5,194,33,232
117764,"Photo","inspiration",5,1,13,"Yes",4458,7753,491,6,101,29,136
117764,"Link","action",5,1,2,"No",12540,19301,344,3,46,14,63
117764,"Photo","inspiration",5,7,13,"Yes",4362,7378,604,3,156,20,179
117764,"Photo","inspiration",5,6,13,"No",3144,5067,392,1,58,13,72
117764,"Photo","inspiration",5,6,8,"Yes",4336,7705,574,12,155,23,190
116435,"Photo","product",5,5,9,"No",5728,10164,676,3,155,32,190
116435,"Photo","inspiration",5,4,13,"Yes",5490,9518,647,4,166,33,203
116435,"Status","action",5,4,3,"Yes",23832,42313,1701,6,210,39,255
116435,"Photo","inspiration",5,3,7,"No",18552,25542,1005,4,400,25,429
116435,"Photo","product",5,2,14,"No",4132,7165,552,2,98,18,118
116435,"Photo","action",5,2,8,"No",4910,9209,625,12,138,38,188
116435,"Photo","inspiration",5,1,13,"No",4202,7633,562,3,148,16,167
116091,"Photo","product",5,1,3,"No",5976,10441,689,2,267,40,309
116091,"Photo","product",5,7,14,"No",5206,8962,565,1,144,29,174
116091,"Photo","inspiration",5,7,2,"No",6984,12066,780,25,256,54,335
116091,"Photo","action",5,6,9,"No",6000,10300,577,3,72,24,99
116091,"Photo","inspiration",5,6,3,"No",3332,5797,463,0,87,18,105
116091,"Status","product",5,5,7,"No",9232,16811,908,1,129,36,166
115893,"Photo","inspiration",4,4,15,"Yes",5212,9035,736,1,179,30,210
115893,"Photo","action",4,3,13,"No",24264,51899,1599,9,194,33,236
115368,"Photo","inspiration",4,3,8,"No",4280,7594,624,1,124,32,157
115368,"Photo","inspiration",4,2,13,"No",6692,11859,905,4,304,47,355
115368,"Photo","inspiration",4,2,2,"Yes",5594,9586,739,12,138,39,189
115368,"Photo","action",4,1,2,"No",11336,15350,583,4,41,9,54
113028,"Photo","product",4,7,3,"Yes",5582,9903,708,2,163,35,200
113028,"Photo","action",4,6,14,"No",28352,55202,1476,45,407,76,528
113028,"Status","product",4,6,3,"Yes",17912,34774,2750,17,447,123,587
113028,"Link","action",4,5,7,"Yes",35360,45260,339,7,38,11,56
113028,"Photo","action",4,5,5,"No",9084,15194,962,2,93,26,121
113028,"Photo","action",4,4,12,"Yes",6880,11736,671,0,59,16,75
111620,"Photo","inspiration",4,4,7,"Yes",12824,18929,830,0,286,30,316
111620,"Photo","inspiration",4,3,7,"No",6596,9835,564,0,66,13,79
111620,"Photo","inspiration",4,2,13,"Yes",7492,12414,838,8,236,51,295
111620,"Photo","action",4,2,6,"Yes",44288,60918,1215,2,152,11,165
109670,"Photo","inspiration",4,6,20,"No",5994,9970,964,11,235,34,280
109670,"Photo","action",4,6,13,"No",6172,10417,718,1,64,22,87
109670,"Photo","inspiration",4,6,3,"No",4986,8198,662,2,92,28,122
109670,"Photo","action",4,5,13,"No",6668,10701,669,3,53,13,69
109670,"Photo","inspiration",4,5,7,"Yes",5298,8875,657,5,140,38,183
109670,"Photo","action",4,4,3,"No",35008,45508,621,0,48,8,56
109670,"Photo","action",4,3,13,"Yes",5402,8891,700,0,112,14,126
109670,"Photo","action",4,3,8,"No",9880,12695,524,0,35,5,40
109670,"Photo","action",4,2,13,"No",3334,5953,584,4,37,3,44
109670,"Photo","inspiration",4,2,2,"Yes",3130,5313,522,0,48,14,62
109670,"Photo","action",4,1,2,"No",20920,26026,705,1,96,18,115
109670,"Photo","inspiration",4,7,14,"No",3884,6406,518,1,57,13,71
107907,"Photo","inspiration",4,7,13,"No",4240,7057,601,3,114,21,138
107907,"Photo","action",4,6,9,"No",3544,6156,509,1,51,6,58
107907,"Photo","inspiration",4,6,3,"Yes",3286,6276,504,1,87,27,115
107907,"Photo","inspiration",4,5,3,"No",3824,6333,666,1,71,18,90
107907,"Photo","inspiration",4,4,13,"No",6360,11079,715,9,164,52,225
107907,"Photo","inspiration",4,4,5,"Yes",3714,6385,537,5,91,26,122
107907,"Photo","action",4,3,13,"Yes",46192,80227,1364,9,329,38,376
107907,"Photo","action",4,3,4,"Yes",39568,47128,741,4,128,17,149
107907,"Photo","inspiration",4,1,3,"No",4552,7253,471,1,52,24,77
107907,"Photo","inspiration",4,7,10,"No",4390,7004,484,1,63,26,90
107907,"Photo","inspiration",4,7,3,"No",4770,7716,494,2,97,25,124
106928,"Photo","inspiration",4,6,9,"Yes",2970,4649,421,2,56,9,67
106928,"Link","action",4,6,4,"No",34192,42092,338,1,36,7,44
106928,"Photo","product",4,5,13,"No",5302,8769,624,4,138,26,168
106928,"Photo","product",4,5,3,"No",5560,9301,642,7,142,24,173
106928,"Photo","inspiration",4,4,13,"No",4406,6769,477,1,75,15,91
106928,"Photo","action",4,4,3,"Yes",5290,8132,612,1,89,14,104
104070,"Status","action",3,3,15,"No",9120,14759,951,3,25,6,34
102112,"Photo","action",3,3,10,"No",4122,7073,466,1,27,11,39
102112,"Photo","action",3,3,4,"No",5080,8238,523,0,39,14,53
102112,"Photo","action",3,2,12,"No",4068,7333,538,0,61,13,74
102112,"Photo","action",3,2,3,"No",3272,6079,463,0,32,7,39
102112,"Photo","action",3,1,19,"No",238,570,143,0,2,0,2
102112,"Photo","action",3,1,18,"No",3358,5900,541,8,109,3,120
102112,"Photo","action",3,1,18,"No",6400,11941,735,0,32,6,38
102112,"Link","inspiration",3,1,3,"No",6876,10885,282,2,68,15,85
100732,"Photo","action",3,7,18,"No",391,746,131,0,6,1,7
100732,"Photo","action",3,7,17,"No",10844,22468,1409,4,213,13,230
100732,"Photo","action",3,7,15,"No",5132,9067,398,0,2,0,2
100732,"Photo","action",3,7,15,"No",3772,6971,144,0,3,0,3
100732,"Link","action",3,7,14,"No",2933,5144,24,0,6,0,6
100732,"Photo","action",3,7,12,"No",4094,7469,206,0,4,0,4
100732,"Photo","action",3,6,17,"No",452,726,186,0,4,1,5
100732,"Photo","action",3,6,17,"No",11420,23855,1411,12,211,14,237
100732,"Photo","action",3,6,15,"No",5704,10510,452,1,15,1,17
100732,"Photo","action",3,6,15,"No",7192,12811,587,11,95,4,110
100732,"Photo","action",3,6,13,"Yes",9604,16557,1061,16,127,0,143
98195,"Link","product",3,6,6,"No",5730,10083,103,2,32,15,49
98195,"Photo","action",3,6,3,"No",4898,7960,560,1,76,9,86
